author1,author2,trial,accuracy
gemini-1.5-pro-latest,claude-3-sonnet-20240229,23,0.89
gemini-1.5-pro-latest,claude-3-sonnet-20240229,24,0.83
gemini-1.5-pro-latest,claude-3-sonnet-20240229,25,0.7625
gemini-1.5-pro-latest,claude-3-sonnet-20240229,26,0.8825
gemini-1.5-pro-latest,claude-3-sonnet-20240229,27,0.765
gemini-1.5-pro-latest,claude-3-sonnet-20240229,28,0.78875
gemini-1.5-pro-latest,claude-3-sonnet-20240229,29,0.80875
gemini-1.5-pro-latest,claude-3-opus-20240229,0,0.8175
gemini-1.5-pro-latest,claude-3-opus-20240229,1,0.875
gemini-1.5-pro-latest,claude-3-opus-20240229,2,0.85375
gemini-1.5-pro-latest,claude-3-opus-20240229,3,0.83875
gemini-1.5-pro-latest,claude-3-opus-20240229,4,0.84625
gemini-1.5-pro-latest,claude-3-opus-20240229,5,0.86
gemini-1.5-pro-latest,claude-3-opus-20240229,6,0.84375
gemini-1.5-pro-latest,claude-3-opus-20240229,7,0.8525
gemini-1.5-pro-latest,claude-3-opus-20240229,8,0.80625
gemini-1.5-pro-latest,claude-3-opus-20240229,9,0.81
gemini-1.5-pro-latest,claude-3-opus-20240229,10,0.845
gemini-1.5-pro-latest,claude-3-opus-20240229,11,0.81375
gemini-1.5-pro-latest,claude-3-opus-20240229,12,0.87125
gemini-1.5-pro-latest,claude-3-opus-20240229,13,0.8075
gemini-1.5-pro-latest,claude-3-opus-20240229,14,0.75625
gemini-1.5-pro-latest,claude-3-opus-20240229,15,0.8975
gemini-1.5-pro-latest,claude-3-opus-20240229,16,0.86875
gemini-1.5-pro-latest,claude-3-opus-20240229,17,0.7975
gemini-1.5-pro-latest,claude-3-opus-20240229,18,0.76375
gemini-1.5-pro-latest,claude-3-opus-20240229,19,0.7675
gemini-1.5-pro-latest,claude-3-opus-20240229,20,0.875
gemini-1.5-pro-latest,claude-3-opus-20240229,21,0.88
gemini-1.5-pro-latest,claude-3-opus-20240229,22,0.7675
gemini-1.5-pro-latest,claude-3-opus-20240229,23,0.87375
gemini-1.5-pro-latest,claude-3-opus-20240229,24,0.83
gemini-1.5-pro-latest,claude-3-opus-20240229,25,0.7
gemini-1.5-pro-latest,claude-3-opus-20240229,26,0.78125
gemini-1.5-pro-latest,claude-3-opus-20240229,27,0.87875
gemini-1.5-pro-latest,claude-3-opus-20240229,28,0.83125
gemini-1.5-pro-latest,claude-3-opus-20240229,29,0.84375
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,0,0.88625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,1,0.82875
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,2,0.8525
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,3,0.75375
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,4,0.8625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,5,0.8575
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,6,0.9125
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,7,0.85125
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,8,0.84875
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,9,0.81625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,10,0.895
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,11,0.9175
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,12,0.9
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,13,0.905
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,14,0.84
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,15,0.86375
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,16,0.84125
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,17,0.8775
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,18,0.80625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,19,0.81875
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,20,0.90125
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,21,0.86
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,22,0.81875
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,23,0.86875
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,24,0.70625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,25,0.785
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,26,0.75375
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,27,0.84625
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,28,0.78375
gemini-1.5-pro-latest,gpt-3.5-turbo-0125,29,0.8475
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,0,0.72875
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,1,0.89
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,2,0.87875
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,3,0.88375
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,4,0.9
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,5,0.7825
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,6,0.91125
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,7,0.85375
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,8,0.9325
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,9,0.89875
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,10,0.89125
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,11,0.9325
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,12,0.8925
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,13,0.82625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,14,0.93125
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,15,0.92
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,16,0.93625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,17,0.84375
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,18,0.94625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,19,0.8275
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,20,0.94375
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,21,0.84625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,22,0.94625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,23,0.91
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,24,0.88125
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,25,0.86125
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,26,0.915
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,27,0.91625
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,28,0.8575
gemini-1.5-pro-latest,gpt-4-turbo-2024-04-09,29,0.80375
claude-3-sonnet-20240229,claude-3-opus-20240229,0,0.74625
claude-3-sonnet-20240229,claude-3-opus-20240229,1,0.65
claude-3-sonnet-20240229,claude-3-opus-20240229,2,0.63125
claude-3-sonnet-20240229,claude-3-opus-20240229,3,0.585
claude-3-sonnet-20240229,claude-3-opus-20240229,4,0.66125
claude-3-sonnet-20240229,claude-3-opus-20240229,5,0.6325
claude-3-sonnet-20240229,claude-3-opus-20240229,6,0.73125
claude-3-sonnet-20240229,claude-3-opus-20240229,7,0.67625
claude-3-sonnet-20240229,claude-3-opus-20240229,8,0.75125
claude-3-sonnet-20240229,claude-3-opus-20240229,9,0.61875
claude-3-sonnet-20240229,claude-3-opus-20240229,10,0.645
claude-3-sonnet-20240229,claude-3-opus-20240229,11,0.67625
claude-3-sonnet-20240229,claude-3-opus-20240229,12,0.61625
claude-3-sonnet-20240229,claude-3-opus-20240229,13,0.64125
claude-3-sonnet-20240229,claude-3-opus-20240229,14,0.61375
claude-3-sonnet-20240229,claude-3-opus-20240229,15,0.60625
claude-3-sonnet-20240229,claude-3-opus-20240229,16,0.59875
claude-3-sonnet-20240229,claude-3-opus-20240229,17,0.6625
claude-3-sonnet-20240229,claude-3-opus-20240229,18,0.6375
claude-3-sonnet-20240229,claude-3-opus-20240229,19,0.6175
claude-3-sonnet-20240229,claude-3-opus-20240229,20,0.6575
claude-3-sonnet-20240229,claude-3-opus-20240229,21,0.695
claude-3-sonnet-20240229,claude-3-opus-20240229,22,0.72875
claude-3-sonnet-20240229,claude-3-opus-20240229,23,0.685
claude-3-sonnet-20240229,claude-3-opus-20240229,24,0.69875
claude-3-sonnet-20240229,claude-3-opus-20240229,25,0.6975
claude-3-sonnet-20240229,claude-3-opus-20240229,26,0.67125
claude-3-sonnet-20240229,claude-3-opus-20240229,27,0.615
claude-3-sonnet-20240229,claude-3-opus-20240229,28,0.695
claude-3-sonnet-20240229,claude-3-opus-20240229,29,0.7075
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,0,0.87875
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,1,0.82625
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,2,0.73375
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,3,0.775
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,4,0.7825
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,5,0.7375
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,6,0.78375
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,7,0.71125
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,8,0.81625
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,9,0.89125
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,10,0.675
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,11,0.7925
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,12,0.84125
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,13,0.8375
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,14,0.865
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,15,0.765
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,16,0.77375
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,17,0.825
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,18,0.76625
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,19,0.675
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,20,0.8475
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,21,0.8375
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,22,0.795
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,23,0.87875
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,24,0.88625
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,25,0.88375
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,26,0.64625
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,27,0.8025
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,28,0.9075
claude-3-sonnet-20240229,gpt-3.5-turbo-0125,29,0.76125
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,0,0.855
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,1,0.84
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,2,0.87875
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,3,0.83375
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,4,0.80125
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,5,0.82875
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,6,0.75
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,7,0.84
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,8,0.65625
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,9,0.83375
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,10,0.85375
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,11,0.84125
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,12,0.81625
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,13,0.86625
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,14,0.85625
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,15,0.85375
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,16,0.83875
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,17,0.85375
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,18,0.87875
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,19,0.9125
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,20,0.83
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,21,0.8475
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,22,0.86875
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,23,0.75625
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,24,0.84
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,25,0.8075
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,26,0.87625
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,27,0.815
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,28,0.8425
claude-3-sonnet-20240229,gpt-4-turbo-2024-04-09,29,0.7075
claude-3-opus-20240229,gpt-3.5-turbo-0125,0,0.81375
claude-3-opus-20240229,gpt-3.5-turbo-0125,1,0.6225
claude-3-opus-20240229,gpt-3.5-turbo-0125,2,0.7175
claude-3-opus-20240229,gpt-3.5-turbo-0125,3,0.7025
claude-3-opus-20240229,gpt-3.5-turbo-0125,4,0.72
claude-3-opus-20240229,gpt-3.5-turbo-0125,5,0.74375
claude-3-opus-20240229,gpt-3.5-turbo-0125,6,0.78625
claude-3-opus-20240229,gpt-3.5-turbo-0125,7,0.6875
claude-3-opus-20240229,gpt-3.5-turbo-0125,8,0.80875
claude-3-opus-20240229,gpt-3.5-turbo-0125,9,0.67125
claude-3-opus-20240229,gpt-3.5-turbo-0125,10,0.68125
claude-3-opus-20240229,gpt-3.5-turbo-0125,11,0.73625
claude-3-opus-20240229,gpt-3.5-turbo-0125,12,0.7175
claude-3-opus-20240229,gpt-3.5-turbo-0125,13,0.77
claude-3-opus-20240229,gpt-3.5-turbo-0125,14,0.75625
claude-3-opus-20240229,gpt-3.5-turbo-0125,15,0.70875
claude-3-opus-20240229,gpt-3.5-turbo-0125,16,0.76625
claude-3-opus-20240229,gpt-3.5-turbo-0125,17,0.74875
claude-3-opus-20240229,gpt-3.5-turbo-0125,18,0.82625
claude-3-opus-20240229,gpt-3.5-turbo-0125,19,0.7475
claude-3-opus-20240229,gpt-3.5-turbo-0125,20,0.6775
claude-3-opus-20240229,gpt-3.5-turbo-0125,21,0.68375
claude-3-opus-20240229,gpt-3.5-turbo-0125,22,0.72375
claude-3-opus-20240229,gpt-3.5-turbo-0125,23,0.73125
claude-3-opus-20240229,gpt-3.5-turbo-0125,24,0.8125
claude-3-opus-20240229,gpt-3.5-turbo-0125,25,0.7275
claude-3-opus-20240229,gpt-3.5-turbo-0125,26,0.79875
claude-3-opus-20240229,gpt-3.5-turbo-0125,27,0.785
claude-3-opus-20240229,gpt-3.5-turbo-0125,28,0.74625
claude-3-opus-20240229,gpt-3.5-turbo-0125,29,0.83
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,0,0.86375
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,1,0.84375
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,2,0.9125
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,3,0.895
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,4,0.88125
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,5,0.9025
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,6,0.90125
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,7,0.85625
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,8,0.83375
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,9,0.88125
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,10,0.92
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,11,0.82875
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,12,0.8925
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,13,0.9025
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,14,0.80125
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,15,0.9125
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,16,0.87875
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,17,0.83625
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,18,0.8225
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,19,0.89625
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,20,0.90125
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,21,0.90625
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,22,0.90625
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,23,0.86875
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,24,0.88625
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,25,0.895
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,26,0.9025
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,27,0.8975
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,28,0.88625
claude-3-opus-20240229,gpt-4-turbo-2024-04-09,29,0.87625
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,0,0.865
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,1,0.88
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,2,0.9025
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,3,0.85125
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,4,0.85
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,5,0.79375
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,6,0.93375
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,7,0.83375
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,8,0.8475
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,9,0.86375
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,10,0.8075
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,11,0.775
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,12,0.92375
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,13,0.74375
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,14,0.8775
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,15,0.83375
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,16,0.845
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,17,0.74
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,18,0.86375
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,19,0.84625
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,20,0.82
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,21,0.7875
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,22,0.82
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,23,0.925
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,24,0.8675
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,25,0.8925
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,26,0.76625
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,27,0.85
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,28,0.82
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,29,0.83125
